"speed","rr","lin","distance","timeper","cat","grpsize","calf","behav","count","id","timeofday","behav2","vessels"
0.956207345,84.5793559,0.187967068,80.36423308,0.6,"None",4,0,"Social",4,4143810,"mid-day","RST","Absent"
1.863527058,60.73529112,0.328162678,93.35025202,0.5,"Small",5,0,"Social",2,4143810,"mid-day","RST","Present"
0.873583224,100.4843323,0.032710281,63.6084245,0.5,"Large",4,0,"Social",1,4143811,"mid-day","RST","Present"
0.755018623,20.11618637,0.09048863,79.15065477,0.4,"Small",1,1,"Forage",1,4143911,"mid-day","Foraging","Present"
2.257579131,9.340736884,0.94242,105.1220643,0.4,"Small",6,1,"Social",2,4143911,"mid-day","RST","Present"
3.461234384,20.4694863,0.487279102,141.1706829,0.5,"TT",4,1,"FSB",7,4144210,"mid-day","Foraging","Present"
3.498989561,20.332569,0.637740932,116.0873634,0.4,"TT",2,1,"FSB",1,4144210,"mid-day","Foraging","Present"
3.548187905,15.61362566,0.985627701,111.2984765,0.4,"TT",5,1,"FSB",2,4144210,"mid-day","Foraging","Present"
3.575255165,22.80967722,0.918306187,94.76343611,0.5,"TT",5,1,"FSB",8,4144210,"mid-day","Foraging","Present"
3.897291522,12.21910305,0.971586242,145.2558255,0.4,"TT",5,1,"FSB",3,4144210,"mid-day","Foraging","Present"
3.92229631,18.63045187,0.802087764,218.4292872,0.5,"Trawler",5,1,"FSB",5,4144210,"mid-day","Foraging","Present"
4.185148553,7.519917043,0.994973959,79.37661828,0.5,"Tour",5,1,"FSB",6,4144210,"mid-day","Foraging","Present"
4.363231009,10.62142782,0.977906726,298.9216449,0.4,"Trawler",5,1,"FSB",4,4144210,"mid-day","Foraging","Present"
0.759191287,72.01331259,0.51630535,30.88068337,0.6,"Mid",8,0,"Forage",3,4144211,"mid-day","Foraging","Present"
0.911137134,107.5042863,0.06114299,23.76807751,0.6,"Tour",5,0,"Forage",2,4144211,"mid-day","Foraging","Present"
0.996941637,103.357755,0.123704016,28.97339562,0.6,"Tour",5,0,"Forage",1,4144211,"mid-day","Foraging","Present"
1.211819533,48.94357398,0.62264811,42.54124818,0.6,"Tour",5,0,"Social",4,4144211,"mid-day","RST","Present"
2.903410253,12.10109589,0.912424355,131.1083992,0.4,"None",4,0,"Social",1,4145010,"mid-day","RST","Absent"
1.571709532,72.46715335,0.468068039,84.67066142,0.7,"Small",2,0,"Forage",1,4145011,"afternoon","Foraging","Present"
2.097059216,44.76915768,0.244520309,74.40411112,0.7,"None",3,0,"Forage",2,4145011,"afternoon","Foraging","Absent"
4.833298319,5.213811842,0.994773184,202.018332,0.4,"Small",7,0,"Social",1,4148510,"mid-day","RST","Present"
0.84602329,57.54219428,0.703975335,215.4188148,0.5,"Tour",7,0,"Social",3,4148511,"mid-day","RST","Present"
1.058148303,30.25819431,0.151762152,206.9006375,0.5,"Mid",7,0,"Social",4,4148511,"mid-day","RST","Present"
1.262468661,21.88320946,0.702703349,221.9078981,0.4,"Mid",6,0,"Social",1,4148511,"mid-day","RST","Present"
1.344626773,68.59239467,0.581278258,168.6266019,0.5,"Tour",5,0,"Social",2,4148511,"mid-day","RST","Present"
1.905631618,23.1657941,0.887709161,234.2130346,0.5,"Tour",2,0,"Social",1,4148512,"mid-day","RST","Present"
